Participant,Stimulus,Trial,Time,Gaze_x,Gaze_y,Type,Target_TopLeft_x,Target_TopLeft_y,Target_BottomRight_x,Target_BottomRight_y
S001,Opposite-sex_couple_035_h,44.0,0.07,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_035_h,44.0,0.105,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_035_h,44.0,0.213,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_035_h,44.0,0.275,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_035_h,44.0,0.332,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_035_h,44.0,0.397,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_035_h,44.0,-0.158,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,-0.088,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.001,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.076,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.145,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.217,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.28,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.36,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.426,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.492,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.556,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.609,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.671,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.734,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.797,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.857,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.93,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,0.987,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,1.043,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,1.095,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,1.156,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,1.221,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,1.284,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,1.342,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,1.402,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,1.463,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,1.53,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,1.584,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,1.646,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,1.708,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,1.767,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,1.825,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_035_h,44.0,1.896,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_042_h,45.0,0.001,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_042_h,45.0,0.035,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_042_h,45.0,0.069,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_042_h,45.0,0.104,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_042_h,45.0,0.138,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_042_h,45.0,0.239,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_042_h,45.0,0.325,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_042_h,45.0,0.384,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_042_h,45.0,-0.158,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_042_h,45.0,-0.089,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_042_h,45.0,0.0,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_042_h,45.0,0.092,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_042_h,45.0,0.165,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_042_h,45.0,0.229,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_042_h,45.0,0.304,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_042_h,45.0,0.429,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_042_h,45.0,0.521,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_042_h,45.0,0.616,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_042_h,45.0,0.683,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_042_h,45.0,0.748,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
S001,Opposite-sex_couple_042_h,45.0,0.822,452.0,264.0,Image,190.6666717529297,54.5,678.6666717529297,420.5
