Participant,Experiment_Duration,Date,Time,Browser,Mobile,Platform,Screen_Width,Screen_Height,Source,Gender,Age,Education,Student,Discipline,Ethnicity,Country,SexualOrientation,SexualStatus,StimuliChoice,Bait_Duration,BAIT_ImagesIssues,BAIT_ImageDistinctionBad,BAIT_Worry,BAIT_InterestingAI,BAIT_VideosRealistic,BAIT_ImagesRealistic,BAIT_TextDifferentiation,BAIT_ImpersonalAI,BAIT_TrustHuman,BAIT_Benefit,BAIT_ContentDetection,BAIT_UniqueHuman,BAIT_ImageDistinctionEasy,BAIT_ExpertAI,BAIT_Exciting,BAIT_PreferenceHuman,BAIT_EnvironmentReal,BAIT_ImitatingReality,BAIT_InnovativeAI,BAIT_Dangerous,BAIT_VideosIssues,BAIT_EmotionalHuman,BAIT_UnderstandingAI,BAIT_UserAI,BAIT_TextIssues,BAIT_TextRealistic,COPS_Duration,SexualActivity,COPS_Frequency_2,Feedback_NoFacesAttractive,Feedback_SomeFacesAttractive,Feedback_AIMoreAttractive,Feedback_AILessAttractive,Feedback_DiffObvious,Feedback_DiffSubtle,Feedback_DiffNone,Feedback_LabelsIncorrect,Feedback_LabelsReversed,Feedback_AllReal,Feedback_AllFake,Feedback_AllRealConfidence,Feedback_AllFakeConfidence,Feedback_Enjoyment,Feedback_Text,Instruction_Duration1,Instruction_Duration2,Eyetracking_Validation1_Mean,Eyetracking_Validation1_Max,Eyetracking_Validation1_Min,Eyetracking_Validation1_Distance,Eyetracking_Validation2_Mean,Eyetracking_Validation2_Max,Eyetracking_Validation2_Min,Eyetracking_Validation2_Distance
S022,19.88905,05/02/2025,20:17:32,chrome,False,Windows 10,1366.0,641.0,prolific,Female,33,Bachelor,False,Other,Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,1.3528666666666667,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,0.0,0.4618333333333334,within the last 3 days,I haven't watched pornography in the past 30 days,False,True,True,False,False,False,True,True,False,False,False,,,4,,36.464,11.427,2.142857142857143,16.666666666666664,0.0,93.14607356426077,2.904347826086956,16.0,0.0,82.00043949065
S023,19.305983333333334,05/02/2025,20:44:23,chrome,False,Windows 10,1536.0,695.0,prolific,Female,35,Bachelor,False,"Business, Economics",Black,South Africa,Heterosexual,In a relationship and open to dating,Prefer not to say,1.7456333333333334,2.0,4.0,6.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,0.39631666666666665,less than 24h ago,I haven't watched pornography in the past 30 days,False,False,True,False,False,False,True,False,False,True,False,2.0,,3,,60.466,14.246,16.125567425284423,44.06779661016949,0.0,49.406729863638624,21.908768853753315,55.172413793103445,0.0,59.20471352315394
S024,17.58353333333333,06/02/2025,10:54:25,chrome,False,Windows 10,1536.0,703.0,prolific,Female,40,Bachelor,False,Arts and Humanities,White,United Kingdom,Heterosexual,In a relationship and not open to dating,Prefer not to say,1.02475,3.0,2.0,4.0,0.0,4.0,5.0,3.0,6.0,5.0,2.0,4.0,6.0,4.0,2.0,3.0,6.0,2.0,2.0,0.0,4.0,5.0,6.0,4.0,2.0,4.0,4.0,0.16265000000000002,within the last month,I haven't watched pornography in the past 30 days,False,True,False,False,False,False,False,False,False,False,True,,2.0,3,,50.216,12.59,0.0,0.0,0.0,111.62448136653806,0.0,0.0,0.0,117.70930104435203
S025,28.549666666666667,06/02/2025,13:04:05,chrome,False,Windows 10,2560.0,1305.0,prolific,Male,22,High school,False,Prefer not to say,Mixed,South Africa,Heterosexual,Single and open to dating,Prefer not to say,2.5689333333333333,5.0,1.0,3.0,1.0,3.0,5.0,4.0,6.0,6.0,4.0,5.0,6.0,5.0,3.0,6.0,6.0,6.0,6.0,3.0,5.0,6.0,6.0,6.0,3.0,5.0,4.0,0.36545,less than 24h ago,I watched pornography multiple times a week,False,True,False,True,False,False,False,True,True,False,False,,,4,,93.9,37.193,6.7725501655951685,28.333333333333332,0.0,64.79037949912757,5.260081823495032,44.06779661016949,0.0,95.00589371672447
S026,29.522283333333334,06/02/2025,13:05:18,edge-chromium,False,Windows 10,1592.0,782.0,prolific,Male,33,High school,True,Prefer not to say,Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,3.790316666666667,0.0,6.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,0.0,4.0,1.0,1.0,6.0,5.0,3.0,1.0,5.0,6.0,1.0,4.0,3.0,4.0,2.0,4.0,0.37778333333333336,within the last week,I haven't watched pornography in the past 30 days,False,True,False,False,False,False,True,False,False,False,False,,,4,none,91.806,26.359,1.8,18.0,0.0,95.28329968353555,1.4627659574468086,12.5,0.0,55.55615162076026
S027,25.9526,06/02/2025,13:17:43,edge-chromium,True,Android OS,980.0,1696.0,prolific,Female,26,Bachelor,True,"Psychology, Neuroscience",Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,2.6207,2.0,4.0,6.0,4.0,4.0,6.0,6.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,6.0,4.0,6.0,4.0,1.0,3.0,3.0,3.0,5.0,5.0,0.62705,within the last week,I watched pornography twice in the past 30 days,False,True,True,False,False,False,False,True,False,False,False,,,4,The experiment was different and fun,130.578,41.01,3.791208791208791,15.384615384615385,0.0,22.201137951873758,0.0,0.0,0.0,38.33366453804881
S028,25.061966666666667,07/02/2025,10:25:04,chrome,False,Windows 10,1536.0,703.0,prolific,Male,34,Bachelor,False,"Biology, Chemistry, Physics",White,United Kingdom,Heterosexual,In a relationship and not open to dating,Prefer not to say,2.163483333333333,4.0,1.0,3.0,0.0,0.0,2.0,1.0,6.0,6.0,3.0,4.0,4.0,4.0,0.0,4.0,6.0,2.0,2.0,2.0,1.0,4.0,6.0,2.0,4.0,6.0,2.0,0.32853333333333334,less than 24h ago,I watched pornography twice in the past 30 days,False,True,False,False,False,False,False,False,False,True,False,1.0,,4,Thanks,72.582,26.405,9.830508474576272,52.54237288135594,0.0,47.66176341306532,7.608303341638726,32.758620689655174,0.0,56.137070136932905
S029,44.67868333333333,07/02/2025,11:36:24,chrome,False,Windows 10,1366.0,599.0,prolific,Female,23,Bachelor,False,"Sociology, Anthropology",Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,4.365083333333333,4.0,5.0,4.0,4.0,4.0,6.0,4.0,3.0,2.0,4.0,5.0,4.0,2.0,3.0,6.0,3.0,4.0,6.0,5.0,4.0,3.0,5.0,6.0,6.0,1.0,5.0,1.1769,within the last month,I watched pornography weekly,False,True,True,False,False,False,True,False,False,True,False,4.0,,3,The study was very unique and straighfoward. I would like to participate in many more of your studies in the future.,362.904,75.288,0.0,0.0,0.0,93.3595805449724,2.3672316384180787,11.864406779661017,0.0,105.9687661777546
S030,35.30905,07/02/2025,11:42:25,chrome,False,Linux,817.0,721.0,prolific,Female,26,High school,False,Prefer not to say,Black,South Africa,Heterosexual,In a relationship and not open to dating,Only men (and gay couples),2.3501666666666665,4.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,4.0,4.0,0.44116666666666665,within the last week,I watched pornography weekly,False,False,True,False,False,False,True,False,False,True,False,3.0,,4,The experience was great.,17.909,39.617,0.0,0.0,0.0,174.59019797834588,0.0,0.0,0.0,247.12911656124612
S031,32.12535,07/02/2025,11:42:48,chrome,False,Windows 10,1366.0,633.0,prolific,Female,28,Bachelor,False,"Psychology, Neuroscience",Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,2.9709,3.0,6.0,6.0,3.0,5.0,5.0,1.0,6.0,3.0,5.0,4.0,6.0,1.0,2.0,3.0,4.0,6.0,5.0,6.0,2.0,1.0,6.0,5.0,4.0,6.0,1.0,0.4029833333333333,less than 24h ago,I haven't watched pornography in the past 30 days,False,True,False,True,False,False,True,False,False,True,False,5.0,,4,,115.459,53.911,12.042146697388633,31.428571428571427,0.0,80.35492592411148,3.4299777530589544,12.903225806451612,0.0,81.36718378323557
