"Participant","Experiment_Duration","Date","Time","Browser","Mobile","Platform","Screen_Width","Screen_Height","Source","Gender","Age","Education","Student","Discipline","Ethnicity","Country","SexualOrientation","SexualStatus","StimuliChoice","Bait_Duration","BAIT_InterestingAI","BAIT_ImageDistinctionBad","BAIT_ImitatingReality","BAIT_UnderstandingAI","BAIT_Benefit","BAIT_ExpertAI","BAIT_InnovativeAI","BAIT_ImageDistinctionEasy","BAIT_UserAI","BAIT_ImpersonalAI","BAIT_Dangerous","BAIT_TextIssues","BAIT_ImagesIssues","BAIT_Worry","BAIT_TextDifferentiation","BAIT_Exciting","BAIT_UniqueHuman","BAIT_ImagesRealistic","BAIT_VideosIssues","BAIT_TrustHuman","BAIT_PreferenceHuman","BAIT_ContentDetection","BAIT_VideosRealistic","BAIT_TextRealistic","BAIT_EnvironmentReal","BAIT_EmotionalHuman","COPS_Duration","SexualActivity","COPS_Frequency","Feedback_NoFacesAttractive","Feedback_SomeFacesAttractive","Feedback_AIMoreAttractive","Feedback_AILessAttractive","Feedback_NoImagesArousing","Feedback_SomeImagesArousing","Feedback_AIMoreArousing","Feedback_AILessArousing","Feedback_DiffObvious","Feedback_DiffSubtle","Feedback_DiffNone","Feedback_LabelsIncorrect","Feedback_LabelsReversed","Feedback_AllReal","Feedback_AllFake","Feedback_AllRealConfidence","Feedback_AllFakeConfidence","Feedback_Enjoyment","Feedback_Text","Instruction_Duration1","Instruction_Duration2","Eyetracking_Validation1_Mean","Eyetracking_Validation1_Max","Eyetracking_Validation1_Min","Eyetracking_Validation1_Distance","Eyetracking_Validation2_Mean","Eyetracking_Validation2_Max","Eyetracking_Validation2_Min","Eyetracking_Validation2_Distance","version","Screen_Size"
"S065",25.9329,"11/02/2025","13:03:42","chrome","False","Chrome OS",1601,732,"prolific","Female",27,"Bachelor","False","Business, Economics","Black","South Africa","Heterosexual","In a relationship and not open to dating","Prefer not to say",1.96953333333333,4,3,5,5,4,4,4,3,5,5,3,5,4,3,5,5,3,3,3,3,4,5,5,4,4,3,0.2827,"within the last 3 days","0. I haven't viewed pornography in the past 30 days","False","False","True","False","False","False","False","False","True","False","False","False","False","False","True",NA,4,3,"",97.176,64.97,0.24390243902439,2.4390243902439,0,196.728082568928,4.82779623477298,16.6666666666667,0,184.653348215097,"old",1082.55808158269
"S066",45.96355,"11/02/2025","13:26:26","chrome","False","Windows 10",1366,607,"prolific","Male",34,"Other","Prefer not to say","Prefer not to say","Black","South Africa","Heterosexual","In a relationship and not open to dating","Prefer not to say",3.4893,5,1,4,6,5,4,5,5,6,3,1,1,2,2,2,6,3,6,3,3,4,5,5,4,5,4,0.483583333333333,"less than 24h ago","3. I viewed pornography weekly","False","True","True","False","False","False","False","False","False","False","False","False","False","True","False",4,NA,4,"IT WAS FUN DOING THE STUDY",97.946,23.012,0,0,0,64.1376988182744,0,0,0,92.986199077185,"old",910.583329520149
"S067",24.8565833333333,"11/02/2025","13:28:48","chrome","False","Windows 10",1536,730,"prolific","Male",28,"High school","True","Prefer not to say","Black","South Africa","Heterosexual","Single and open to dating","Prefer not to say",2.59456666666667,0,0,6,6,6,2,6,4,6,0,3,3,3,3,3,6,6,6,0,3,3,5,6,6,6,6,0.462166666666667,"within the last month","2. I viewed pornography twice in the past 30 days","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False",NA,NA,4,"Great study, I really enjoyed it.",49.25,20.82,12.9159302665711,51.8518518518518,0,92.0671756643697,5.56371680747771,21.5686274509804,0,156.521801307724,"old",1058.90509489756
"S068",32.9641,"12/02/2025","09:39:21","edge-chromium","False","Windows 10",1528,746,"prolific","Male",33,"Bachelor","False","Literature, Languages","Black","United Kingdom","Heterosexual","In a relationship and not open to dating","Prefer not to say",5.66851666666667,3,2,3,4,4,3,3,3,4,4,2,4,2,5,3,4,4,3,2,5,5,4,4,3,4,5,1.15643333333333,"within the last month","0. I haven't viewed pornography in the past 30 days","False","True","True","False","False","False","False","False","False","False","True","False","False","True","False",4,NA,2,"no",49.331,124.015,11.0523939800122,37.9310344827586,0,83.7983101886207,10.0151800490784,32.2033898305085,0,94.0818950394914,"old",1067.6553751094
"S069",39.9357166666667,"12/02/2025","09:43:24","chrome","False","Chrome OS",1536,791,"prolific","Female",41,"Master","False","Business, Economics","Black","United Kingdom","Heterosexual","In a relationship and not open to dating","Prefer not to say",3.99633333333333,3,3,5,3,4,3,3,3,4,2,3,2,2,3,3,5,4,5,3,4,3,3,3,6,4,4,0.5839,"within the last month","0. I haven't viewed pornography in the past 30 days","False","False","True","False","False","False","False","False","False","False","True","False","False","False","False",NA,NA,3,"",118.962,47.091,2.85875706214689,11.6666666666667,0,118.373224641743,1.00847457627119,3.38983050847458,0,170.762795072278,"old",1102.25949757759
"S070",30.5626666666667,"12/02/2025","11:38:36","chrome","False","Windows 10",1366,607,"prolific","Female",34,"Bachelor","False","Business, Economics","Black","South Africa","Heterosexual","In a relationship and not open to dating","Prefer not to say",3.0041,3,3,5,4,5,4,5,3,5,0,0,1,0,0,4,6,0,5,1,5,5,4,5,4,4,4,0.574366666666667,"less than 24h ago","5. I viewed pornography daily","False","True","True","False","False","False","False","False","False","False","True","False","False","True","False",3,NA,4,"Nothing much, this experiment was exciting. ",80.283,37.833,6.04395604395604,46.1538461538462,0,68.6073470602653,4.3859649122807,22.2222222222222,0,80.7665468020312,"old",910.583329520149
"S071",34.7799166666667,"12/02/2025","11:39:35","chrome","False","Windows 10",683,689,"prolific","Male",23,"Bachelor","True","Engineering, Computer Science","Black","South Africa","Heterosexual","In a relationship and not open to dating","Prefer not to say",3.93296666666667,4,3,4,5,4,4,4,4,6,4,1,4,2,6,4,6,4,4,4,4,5,3,4,4,3,5,0.53725,"within the last 3 days","2. I viewed pornography twice in the past 30 days","False","True","False","True","False","False","False","False","False","False","False","False","True","True","False",4,NA,4,"",100.213,42.396,6.64849322096092,19.2982456140351,0,113.217273977947,1.01190476190476,5,0,169.094229520845,"old",685.993440201872
"S072",33.6841,"12/02/2025","11:42:07","chrome","False","Windows 10",1366,633,"prolific","Female",38,"Bachelor","True","Business, Economics","Black","South Africa","Bisexual","In a relationship and not open to dating","Women (and heterosexual couples)",3.49836666666667,4,3,4,4,5,3,4,3,4,3,3,4,2,4,3,4,4,4,3,3,5,5,4,3,5,5,0.5151,"less than 24h ago","0. I haven't viewed pornography in the past 30 days","False","True","True","False","False","False","False","False","False","False","False","False","False","True","False",4,NA,3,"",136.044,58.231,0.588235294117647,5.88235294117647,0,104.958950772344,0.666666666666667,6.66666666666667,0,138.890100168832,"old",929.880637501395
"S073",49.1388166666667,"12/02/2025","11:43:19","chrome","False","Windows 10",1280,598,"prolific","Male",35,"Master","True","Medicine","Black","South Africa","Heterosexual","In a relationship and not open to dating","Prefer not to say",1.4665,0,3,2,4,3,1,5,4,6,6,5,4,5,6,3,4,6,4,4,6,6,5,3,4,4,6,0.377166666666667,"within the last week","0. I haven't viewed pornography in the past 30 days","True","False","False","False","False","False","False","False","False","False","False","True","False","False","False",NA,NA,2,"",91.192,23.97,17.8999610364309,43.3333333333333,0,74.5568195125789,6.13111240989675,23.728813559322,0,103.497145664417,"old",874.894279327508
"S074",34.2597,"12/02/2025","11:54:27","edge-chromium","False","Windows 10",1281,603,"prolific","Male",24,"Master","True","Engineering, Computer Science","Black","South Africa","Heterosexual","In a relationship and not open to dating","Prefer not to say",2.0517,5,4,4,6,6,5,6,3,6,5,2,5,4,2,4,6,4,5,4,4,3,3,4,6,6,6,0.335716666666667,"less than 24h ago","0. I haven't viewed pornography in the past 30 days","False","True","True","False","False","False","False","False","False","False","True","False","True","False","True",NA,4,2,"",185.877,36.949,2.78207630878438,21.7391304347826,0,82.8461631468943,6.35965690624076,20.4081632653061,0,93.3918805235296,"old",878.887364797105
