"ID","Category","Nr","Orientation","Homo_Women_Valence","Homo_Women_Arousal","Homo_Men_Valence","Homo_Men_Arousal","Hetero_Women_Valence","Hetero_Women_Arousal","Hetero_Men_Valence","Hetero_Men_Arousal","Width","Height","Luminance","Contrast","JPEG_size80","LABL","LABA","LABB","Entropy","Description"
"Female_couple_023_h.jpg","Female Couple",23,"h",7.55,5.95,4.95,3.9,5.15,4.9,6.9,6.25,1600,1200,143.6059,41.2488,118542,60.4586,17.0201,24.6432,7.1911,NA
"Female_couple_024_h.jpg","Female Couple",24,"h",8.05,5.05,6.9,4.5,7,4.4,6.15,3.8,1600,1200,72.9323,64.1682,255675,30.9939,3.3396,19.2545,7.4231,NA
"Female_couple_025_h.jpg","Female Couple",25,"h",4.35,4.95,3.65,3.75,3.8,5.65,6.05,5.7,1600,1200,140.975,56.3318,194491,58.4976,7.7771,12.0485,7.0165,NA
"Female_couple_028_h.jpg","Female Couple",28,"h",7.4,5.3,6.2,2.85,5.25,4,5.4,3.75,1600,1200,89.3696,35.0798,427969,37.7901,4.0035,3.34,7.1499,NA
"Female_couple_031_v.jpg","Female Couple",31,"v",7.45,5.2,6.05,2.85,5.2,3.35,5.45,3.75,1200,1600,144.1148,69.0956,259490,59.3008,10.0225,8.593,7.7836,NA
"Female_couple_032_v.jpg","Female Couple",32,"v",7.35,5,6.75,2.95,5.3,3.1,4.95,3.2,1200,1600,120.2312,96.7068,213680,48.8159,8.9793,5.0349,7.2275,NA
"Female_couple_033_h.jpg","Female Couple",33,"h",6.75,4.6,5.7,2.35,4.75,3.15,5.65,3.75,1600,1200,89.743,69.1356,209946,37.2128,9.8358,12.1632,7.5198,NA
"Female_couple_034_h.jpg","Female Couple",34,"h",7.15,4.9,6.1,2.8,5.1,3.55,4.8,2.75,1600,1200,85.6869,74.2436,204724,34.9875,4.2255,4.0444,7.6364,NA
"Female_couple_044_h.jpg","Female Couple",44,"h",5.55,3.3,5.65,3.1,4.85,4.6,4.55,3.95,1600,1200,76.453,73.5091,214302,31.3581,4.6737,4.6887,7.0572,NA
"Female_couple_045_h.jpg","Female Couple",45,"h",6.8,3.85,6.4,3.15,5.25,3.1,5.5,3.95,1600,1200,115.1484,75.9634,177549,47.3267,2.6784,3.3767,7.6493,NA
"Female_couple_050_h.jpg","Female Couple",50,"h",7.35,4.35,6.5,4.1,5.25,3.95,5,3.1,1600,1200,128.7043,60.9886,286893,54.3164,7.9904,7.9747,7.7641,NA
"Male_001_v.jpg","Male",1,"v",3.65,3.45,6.25,4.85,5.7,4.55,4.25,3.7,1200,1600,146.933,72.0716,265152,60.0397,4.5447,6.449,7.7395,NA
"Male_002_v.jpg","Male",2,"v",4.9,2.15,6.7,4.35,6,4.65,4,2.85,1200,1600,103.1037,65.8985,221793,42.743,11.6582,-3.6073,7.7155,NA
"Male_003_v.jpg","Male",3,"v",5.15,2.45,7.5,5.25,6.25,5,4.2,3.65,1200,1600,110.6571,49.4077,228056,46.1739,3.5967,7.3901,7.4926,NA
"Male_004_v.jpg","Male",4,"v",5,2.9,7.35,5.5,6.5,4.35,4.85,3.2,1200,1600,76.7098,68.2319,210323,31.1509,-0.2366,7.0839,7.0933,NA
"Male_005_v.jpg","Male",5,"v",3.8,3.25,7.45,6.5,5.5,4.4,3.2,4.75,1200,1600,45.0897,43.8873,170084,19.09,11.4089,17.2027,6.7516,NA
"Male_006_v.jpg","Male",6,"v",4.1,2.65,5.35,4.2,4.45,4.85,2.95,4.8,1200,1600,61.9878,40.1914,206880,26.1872,7.5483,10.2363,7.0614,NA
"Male_007_h.jpg","Male",7,"h",3.85,2.7,6.05,3.8,4.95,4.1,3.3,4.05,1600,1200,119.5987,54.4775,469938,50.1922,3.1066,14.9059,7.6965,NA
"Male_008_v.jpg","Male",8,"v",3.2,3.9,6.75,5.3,5.75,4.7,3.4,4.45,1200,1600,118.5186,61.1046,207491,49.8422,14.1516,16.1108,7.609,NA
"Male_009_v.jpg","Male",9,"v",4.8,2,7.1,4.4,6.15,4.85,4.45,2.85,1200,1600,100.9133,60.8704,271374,43.2111,13.4711,15.6762,7.489,NA
"Male_010_v.jpg","Male",10,"v",4.75,2.1,7.1,4.45,5.35,3.8,3.85,3.75,1200,1600,146.375,67.3991,160848,59.9546,6.5991,11.7406,7.2976,NA
"Male_011_v.jpg","Male",11,"v",5.5,2.9,7,5.2,5.4,4.5,4.6,3.15,1200,1600,97.7019,66.7949,265717,40.2007,8.1808,11.1864,7.44,NA
"Male_012_h.jpg","Male",12,"h",4.25,2.2,7.2,5.3,5.25,3.75,3.55,2.95,1600,1200,188.8783,43.9723,331233,76.3947,4.1326,8.2885,7.2393,NA
"Male_013_v.jpg","Male",13,"v",4.05,2.7,6.25,4.35,6.25,5.3,3.7,3.75,1200,1600,106.6658,86.7349,293448,44.0686,11.5375,24.8859,7.4514,NA
"Male_014_v.jpg","Male",14,"v",3.75,2.65,7.4,6.3,6.05,5,3.6,3.95,1200,1600,180.0477,48.9227,151861,73.0604,3.9097,2.0474,7.2601,NA
"Male_015_v.jpg","Male",15,"v",5,2.35,7.4,4.9,6.6,4.1,4.8,2.7,1200,1600,48.8844,76.4888,167601,20.0917,1.4845,8.8924,3.8868,NA
"Male_016_v.jpg","Male",16,"v",3.8,3.05,7.65,6.4,5.85,5.45,3.5,3.6,1200,1600,119.1188,45.7527,216444,50.2338,12.4281,14.1233,7.4858,NA
"Male_017_v.jpg","Male",17,"v",3.5,3.3,6.85,5.15,4.45,4.7,3.8,4,1200,1600,74.3417,56.3546,276400,31.538,5.2385,7.6499,7.2051,NA
"Male_018_v.jpg","Male",18,"v",4.4,2.55,6.45,4.15,5.25,3.9,4.45,3.2,1200,1600,138.1733,71.0229,175978,57.09,7.6306,11.6477,7.2597,NA
"Male_020_v.jpg","Male",20,"v",5.3,2.75,7.85,6.1,6.25,4.8,3.95,3.25,1200,1600,190.5202,61.7412,157062,76.8132,4.0439,6.6188,7.1453,NA
"Male_022_v.jpg","Male",22,"v",3.55,4,6.8,6.15,4.35,5.45,3.1,5.15,1200,1600,103.1871,52.5585,257785,43.1253,2.6258,12.346,7.6091,NA
"Male_023_v.jpg","Male",23,"v",5.25,2.35,7.5,5.2,6.6,5.15,5.05,3,1200,1600,120.5579,59.4542,201176,51.0533,12.5798,16.3443,7.7168,NA
"Male_024_h.jpg","Male",24,"h",5,2.6,7.4,5.4,6.6,5.15,4.5,2.6,1600,1200,83.0978,44.1672,201056,35.3457,11.8279,13.8626,7.3268,NA
"Male_025_v.jpg","Male",25,"v",4,2.65,5.9,2.8,4.5,3.65,3.45,3.55,1200,1600,69.5268,60.357,267633,29.0652,2.7805,-0.966,6.8769,NA
"Female_001_h.jpg","Female",1,"h",6.6,4.2,4.8,2.45,5.4,3.35,6.9,5.3,1600,1200,134.0912,49.2428,249227,58.36,27.1818,10.7039,7.2143,NA
