"ID","Category","Nr","Orientation","Homo_Women_Valence","Homo_Women_Arousal","Homo_Men_Valence","Homo_Men_Arousal","Hetero_Women_Valence","Hetero_Women_Arousal","Hetero_Men_Valence","Hetero_Men_Arousal","Width","Height","Luminance","Contrast","JPEG_size80","LABL","LABA","LABB","Entropy","Description","total_arousal","total_valence"
"Female_couple_010_h.jpg","Female Couple",10,"h",7.55,6.2,5.25,3.95,5.3,3.8,6.9,5.65,1600,1200,131.7351,78.2654,323501,53.9012,4.4331,12.9353,7.5833,NA,9.45,12.2
"Female_couple_012_v.jpg","Female Couple",12,"v",7.5,5.3,6.3,2.95,5.7,3.65,5.25,3.4,1200,1600,145.6083,65.9077,264401,60.0727,9.7176,5.6879,7.4012,NA,7.05,10.95
"Female_couple_013_h.jpg","Female Couple",13,"h",7,4.95,5.5,2.45,5.5,4.05,5.95,4.6,1600,1200,87.5693,70.4847,289911,36.7765,17.0172,14.2992,7.6096,NA,8.65,11.45
"Female_couple_014_v.jpg","Female Couple",14,"v",7.5,5.65,4.9,3.8,4.85,4.5,6.85,5.55,1200,1600,228.7257,24.427,117266,90.9819,6.2396,9.4348,6.1157,NA,10.05,11.7
"Female_couple_015_h.jpg","Female Couple",15,"h",6.7,5.5,4.2,3.55,3.95,5.25,6.2,5.7,1600,1200,169.8649,57.4101,194875,69.4021,11.7456,1.9773,7.1944,NA,10.95,10.15
"Female_couple_016_v.jpg","Female Couple",16,"v",7.8,5.5,6.75,4.25,6.4,4.25,5.25,3.45,1200,1600,118.8284,63.9728,300648,49.1738,1.4708,5.9342,7.2914,NA,7.7,11.65
"Female_couple_019_h.jpg","Female Couple",19,"h",6.65,5.35,5,3,5.3,5.15,6.65,5.25,1600,1200,123.0764,66.1754,220216,50.8408,11.3316,7.9337,7.6295,NA,10.4,11.95
"Female_couple_020_h.jpg","Female Couple",20,"h",7.15,4.8,5.85,3.45,5.05,4.1,5.8,4.05,1600,1200,111.3205,53.6269,318677,46.5656,9.8237,5.2207,7.6542,NA,8.15,10.85
"Female_couple_021_h.jpg","Female Couple",21,"h",7.55,4.65,6.45,3.15,5.7,4.05,5.25,2.85,1600,1200,88.4605,66.1496,286880,36.3945,-2.7413,-5.9268,7.7061,NA,6.9,10.95
"Female_couple_022_h.jpg","Female Couple",22,"h",7.6,6.1,5.45,2.55,5.55,4.3,6.6,5.45,1600,1200,140.6708,57.1839,331811,58.3739,11.6727,18.2173,7.7281,NA,9.75,12.15
"Female_couple_023_h.jpg","Female Couple",23,"h",7.55,5.95,4.95,3.9,5.15,4.9,6.9,6.25,1600,1200,143.6059,41.2488,118542,60.4586,17.0201,24.6432,7.1911,NA,11.15,12.05
"Female_couple_024_h.jpg","Female Couple",24,"h",8.05,5.05,6.9,4.5,7,4.4,6.15,3.8,1600,1200,72.9323,64.1682,255675,30.9939,3.3396,19.2545,7.4231,NA,8.2,13.15
"Female_couple_025_h.jpg","Female Couple",25,"h",4.35,4.95,3.65,3.75,3.8,5.65,6.05,5.7,1600,1200,140.975,56.3318,194491,58.4976,7.7771,12.0485,7.0165,NA,11.35,9.85
"Female_couple_028_h.jpg","Female Couple",28,"h",7.4,5.3,6.2,2.85,5.25,4,5.4,3.75,1600,1200,89.3696,35.0798,427969,37.7901,4.0035,3.34,7.1499,NA,7.75,10.65
"Female_couple_031_v.jpg","Female Couple",31,"v",7.45,5.2,6.05,2.85,5.2,3.35,5.45,3.75,1200,1600,144.1148,69.0956,259490,59.3008,10.0225,8.593,7.7836,NA,7.1,10.65
"Female_couple_032_v.jpg","Female Couple",32,"v",7.35,5,6.75,2.95,5.3,3.1,4.95,3.2,1200,1600,120.2312,96.7068,213680,48.8159,8.9793,5.0349,7.2275,NA,6.3,10.25
"Female_couple_034_h.jpg","Female Couple",34,"h",7.15,4.9,6.1,2.8,5.1,3.55,4.8,2.75,1600,1200,85.6869,74.2436,204724,34.9875,4.2255,4.0444,7.6364,NA,6.3,9.9
"Female_couple_037_v.jpg","Female Couple",37,"v",7.25,4.95,6.25,2.8,4.85,3.25,5.35,4.1,1200,1600,129.8277,62.7184,283220,53.522,5.0183,8.6906,7.8263,NA,7.35,10.2
"Female_couple_038_h.jpg","Female Couple",38,"h",6.75,4.65,6.25,3.1,5.3,3.65,5.15,3.45,1600,1200,91.1315,68.4256,278051,37.516,5.409,4.3568,7.6206,NA,7.1,10.45
"Female_couple_040_h.jpg","Female Couple",40,"h",7.05,4.75,6.25,2.65,5,3.35,5.55,3.55,1600,1200,69.7449,72.6572,298001,28.9413,7.8342,16.6628,7.2089,NA,6.9,10.55
"Female_couple_048_h.jpg","Female Couple",48,"h",6.55,4.6,6.2,2.8,4.7,3.45,4.45,3.5,1600,1200,50.6014,53.4323,231254,21.284,5.565,6.636,6.7619,NA,6.95,9.15
"Male_001_v.jpg","Male",1,"v",3.65,3.45,6.25,4.85,5.7,4.55,4.25,3.7,1200,1600,146.933,72.0716,265152,60.0397,4.5447,6.449,7.7395,NA,8.25,9.95
"Male_002_v.jpg","Male",2,"v",4.9,2.15,6.7,4.35,6,4.65,4,2.85,1200,1600,103.1037,65.8985,221793,42.743,11.6582,-3.6073,7.7155,NA,7.5,10
"Male_003_v.jpg","Male",3,"v",5.15,2.45,7.5,5.25,6.25,5,4.2,3.65,1200,1600,110.6571,49.4077,228056,46.1739,3.5967,7.3901,7.4926,NA,8.65,10.45
"Male_004_v.jpg","Male",4,"v",5,2.9,7.35,5.5,6.5,4.35,4.85,3.2,1200,1600,76.7098,68.2319,210323,31.1509,-0.2366,7.0839,7.0933,NA,7.55,11.35
"Male_005_v.jpg","Male",5,"v",3.8,3.25,7.45,6.5,5.5,4.4,3.2,4.75,1200,1600,45.0897,43.8873,170084,19.09,11.4089,17.2027,6.7516,NA,9.15,8.7
"Male_006_v.jpg","Male",6,"v",4.1,2.65,5.35,4.2,4.45,4.85,2.95,4.8,1200,1600,61.9878,40.1914,206880,26.1872,7.5483,10.2363,7.0614,NA,9.65,7.4
"Male_007_h.jpg","Male",7,"h",3.85,2.7,6.05,3.8,4.95,4.1,3.3,4.05,1600,1200,119.5987,54.4775,469938,50.1922,3.1066,14.9059,7.6965,NA,8.15,8.25
"Male_008_v.jpg","Male",8,"v",3.2,3.9,6.75,5.3,5.75,4.7,3.4,4.45,1200,1600,118.5186,61.1046,207491,49.8422,14.1516,16.1108,7.609,NA,9.15,9.15
"Male_009_v.jpg","Male",9,"v",4.8,2,7.1,4.4,6.15,4.85,4.45,2.85,1200,1600,100.9133,60.8704,271374,43.2111,13.4711,15.6762,7.489,NA,7.7,10.6
"Male_010_v.jpg","Male",10,"v",4.75,2.1,7.1,4.45,5.35,3.8,3.85,3.75,1200,1600,146.375,67.3991,160848,59.9546,6.5991,11.7406,7.2976,NA,7.55,9.2
"Male_011_v.jpg","Male",11,"v",5.5,2.9,7,5.2,5.4,4.5,4.6,3.15,1200,1600,97.7019,66.7949,265717,40.2007,8.1808,11.1864,7.44,NA,7.65,10
"Male_012_h.jpg","Male",12,"h",4.25,2.2,7.2,5.3,5.25,3.75,3.55,2.95,1600,1200,188.8783,43.9723,331233,76.3947,4.1326,8.2885,7.2393,NA,6.7,8.8
"Male_013_v.jpg","Male",13,"v",4.05,2.7,6.25,4.35,6.25,5.3,3.7,3.75,1200,1600,106.6658,86.7349,293448,44.0686,11.5375,24.8859,7.4514,NA,9.05,9.95
"Male_014_v.jpg","Male",14,"v",3.75,2.65,7.4,6.3,6.05,5,3.6,3.95,1200,1600,180.0477,48.9227,151861,73.0604,3.9097,2.0474,7.2601,NA,8.95,9.65
"Male_015_v.jpg","Male",15,"v",5,2.35,7.4,4.9,6.6,4.1,4.8,2.7,1200,1600,48.8844,76.4888,167601,20.0917,1.4845,8.8924,3.8868,NA,6.8,11.4
"Male_016_v.jpg","Male",16,"v",3.8,3.05,7.65,6.4,5.85,5.45,3.5,3.6,1200,1600,119.1188,45.7527,216444,50.2338,12.4281,14.1233,7.4858,NA,9.05,9.35
"Male_017_v.jpg","Male",17,"v",3.5,3.3,6.85,5.15,4.45,4.7,3.8,4,1200,1600,74.3417,56.3546,276400,31.538,5.2385,7.6499,7.2051,NA,8.7,8.25
"Male_018_v.jpg","Male",18,"v",4.4,2.55,6.45,4.15,5.25,3.9,4.45,3.2,1200,1600,138.1733,71.0229,175978,57.09,7.6306,11.6477,7.2597,NA,7.1,9.7
"Male_019_h.jpg","Male",19,"h",4.85,2.15,5.85,3.85,5.65,3.75,3.5,3.1,1600,1200,43.1615,33.4787,150728,19.1464,14.2369,16.1964,6.5824,NA,6.85,9.15
"Male_020_v.jpg","Male",20,"v",5.3,2.75,7.85,6.1,6.25,4.8,3.95,3.25,1200,1600,190.5202,61.7412,157062,76.8132,4.0439,6.6188,7.1453,NA,8.05,10.2
"Male_021_h.jpg","Male",21,"h",4.25,2.35,6.85,4.15,5.4,4.15,3.75,3.6,1600,1200,138.3122,37.3776,326961,57.763,2.6508,1.566,7.1043,NA,7.75,9.15
"Male_022_v.jpg","Male",22,"v",3.55,4,6.8,6.15,4.35,5.45,3.1,5.15,1200,1600,103.1871,52.5585,257785,43.1253,2.6258,12.346,7.6091,NA,10.6,7.45
"Male_023_v.jpg","Male",23,"v",5.25,2.35,7.5,5.2,6.6,5.15,5.05,3,1200,1600,120.5579,59.4542,201176,51.0533,12.5798,16.3443,7.7168,NA,8.15,11.65
"Male_024_h.jpg","Male",24,"h",5,2.6,7.4,5.4,6.6,5.15,4.5,2.6,1600,1200,83.0978,44.1672,201056,35.3457,11.8279,13.8626,7.3268,NA,7.75,11.1
"Male_025_v.jpg","Male",25,"v",4,2.65,5.9,2.8,4.5,3.65,3.45,3.55,1200,1600,69.5268,60.357,267633,29.0652,2.7805,-0.966,6.8769,NA,7.2,7.95
"Female_001_h.jpg","Female",1,"h",6.6,4.2,4.8,2.45,5.4,3.35,6.9,5.3,1600,1200,134.0912,49.2428,249227,58.36,27.1818,10.7039,7.2143,NA,8.65,12.3
